"","LSOA_CODE","items","quantity","cost","drug_type"
"1","E01000001",17.48667692284,1651.59176840431,68.3461380107526,"pain_medications"
"2","E01000002",17.248486385382,1627.27053251209,67.3427988349206,"pain_medications"
"3","E01000003",20.4823810286935,1941.52510435725,80.3558798397726,"pain_medications"
"4","E01000005",16.7390566891458,1274.34410601581,52.9101819623262,"pain_medications"
"5","E01000006",47.3138206092114,4835.89423776755,199.283819168233,"pain_medications"
"6","E01000007",63.4885496253439,5974.73113178107,246.743265632137,"pain_medications"
"7","E01000008",39.1214240069205,3638.5083122954,149.641485836857,"pain_medications"
"8","E01000009",55.428498109103,5560.49677065874,229.025905151963,"pain_medications"
"9","E01000011",39.2401277163706,3701.5746633186,154.156239498055,"pain_medications"
"10","E01000012",45.8731748053468,4303.48393107919,177.921563699073,"pain_medications"
"11","E01000013",43.7892330402947,4085.93633780723,168.390052472423,"pain_medications"
"12","E01000014",42.8032604467728,3992.48658405773,164.822988659205,"pain_medications"
"13","E01000015",47.7477070942866,4654.72071851179,189.084402361234,"pain_medications"
"14","E01000016",41.7445580137706,3954.94726561,160.813387500289,"pain_medications"
"15","E01000017",42.0117990977106,3715.81945322767,152.791129189875,"pain_medications"
"16","E01000018",37.3109173185562,3475.643789952,141.623745296314,"pain_medications"
"17","E01000019",64.1200613508078,6484.52486525841,267.382576002503,"pain_medications"
"18","E01000020",76.7088660051681,7871.18221399615,324.757855164179,"pain_medications"
"19","E01000021",82.5515139593235,7509.3954430717,309.995850250278,"pain_medications"
"20","E01000022",65.5031376580338,6251.98475808505,258.256041147915,"pain_medications"
"21","E01000024",62.5381959969724,5840.06597122157,241.47070343112,"pain_medications"
"22","E01000025",58.0891475850285,5581.81774343904,231.291648818754,"pain_medications"
"23","E01000027",40.4266607949368,3983.36048860708,164.870873733944,"pain_medications"
"24","E01000028",35.2905215743088,3406.01054382904,141.006055525837,"pain_medications"
"25","E01000029",46.5199398486981,4730.51153000161,195.202619283127,"pain_medications"
"26","E01000030",47.0639126779983,4591.66433453004,190.114869704966,"pain_medications"
"27","E01000031",51.1412239397371,5366.03476088157,220.689847459968,"pain_medications"
"28","E01000032",59.2645532906525,6153.75680954297,253.327950282944,"pain_medications"
"29","E01000033",32.3393170393613,3314.71703410611,135.022490079306,"pain_medications"
"30","E01000034",31.8023870526452,3123.77070128245,127.510183697702,"pain_medications"
"31","E01000035",39.2878147674545,4066.88117320418,163.824718927378,"pain_medications"
"32","E01000036",30.7644891297528,3208.1743844343,127.785600060738,"pain_medications"
"33","E01000037",32.0713195340305,2921.22710349718,119.989046629583,"pain_medications"
"34","E01000038",37.8413014547737,3277.98092585377,134.996170030457,"pain_medications"
"35","E01000039",32.4293944501919,3116.54550166153,127.734078357133,"pain_medications"
"36","E01000040",31.9172546813105,2782.20515165479,115.788688042009,"pain_medications"
"37","E01000041",56.8479739529076,5247.53882044057,216.130696198986,"pain_medications"
"38","E01000042",41.4200037145883,3943.83464037542,164.099153471573,"pain_medications"
"39","E01000043",27.4324164320925,2434.74860684757,101.31658351448,"pain_medications"
"40","E01000044",35.3682314620364,3070.58870679684,126.888394189499,"pain_medications"
"41","E01000045",38.2615625788031,3640.6961780318,150.606993711079,"pain_medications"
"42","E01000046",69.295090518171,6348.60389556416,261.839139129829,"pain_medications"
"43","E01000049",34.9517263957531,3246.84197028976,133.52722407846,"pain_medications"
"44","E01000050",45.4576040872332,4458.02110827135,184.236924835207,"pain_medications"
"45","E01000051",39.0410489135437,3650.54852638144,150.699760649739,"pain_medications"
"46","E01000052",61.5541118053358,5983.58097908627,247.829024925366,"pain_medications"
"47","E01000053",28.5611413387067,2732.74351274959,113.020232187868,"pain_medications"
"48","E01000054",41.2771773079782,3903.15048384842,162.267111094937,"pain_medications"
"49","E01000055",50.5307692617829,4702.7616963871,194.354726958146,"pain_medications"
